smsa_name_clean,smsa_name,line_number,year,page_numbers
CLARKSVILLE-HOPKINSVILLE TENN-KY,CLARKSVILLE-HOPKINSVILLE TENN.-KY.,53,1974,pages_05_06.json
"CLEVELAND, OHIO","CLEVELAND, OHIO | CLEVELAND, OHIO.",27,1967,pages_05_06.json
"COLORADO SPRINGS, COLO","COLORADO SPRINGS, COLO. | COLORADO SPRINGS, COLO..",30,1967,pages_05_06.json
"COLUMBIA, MO","COLUMBIA, MO. | COLUMBIA, MO..",1,1971,pages_07_08.json
"COLUMBIA, SC","COLUMBIA, S.C.",33,1967,pages_05_06.json
"COLUMBUS, GA-ALA","COLUMBUS, GA.-ALA.",36,1967,pages_05_06.json
"COLUMBUS, OHIO","COLUMBUS, OHIO",39,1967,pages_05_06.json
"CORPUS CHRISTI, TEX","CORPUS CHRISTI, TEX.",42,1967,pages_05_06.json
"DALLAS, TEX","DALLAS, TEX.",45,1967,pages_05_06.json
"DALLAS-FORT WORTH, TEX","DALLAS-FORT WORTH, TEX. | DALLAS-FORT WORTH, TEX..",7,1973,pages_07_08.json
"DANBURY, CONN","DANBURY, CONN.",19,1971,pages_07_08.json
"DAVENPORT-ROCK ISLAND-MOLINE, IOWA-ILL","DAVENPORT-ROCK ISLAND-MOLINE, IOWA-ILL. | DAVENPORT-ROCK ISLAND-MOLINE, IOWA-ILL",48,1967,pages_05_06.json
DAVENPORT-ROCK ISLAND-MOLINE; IOWA-ILL,DAVENPORT-ROCK ISLAND-MOLINE; IOWA-ILL.,48,1968,pages_05_06.json
"DAYTON, OHIO","DAYTON, OHIO",54,1967,pages_05_06.json
"DAYTONA BEACH, FLA","DAYTONA BEACH, FLA. | DAYTONA BEACH, FLA..",31,1971,pages_07_08.json
"DECATUR, ILL","DECATUR, ILL. | DECATUR, ILL..",57,1967,pages_05_06.json
"DENVER, COLO","DENVER, COLO.",1,1967,pages_07_08.json
