smsa,year,total_units,private_total,private_1_unit,private_2_units,private_3_4_units,private_5plus_units,public_units,private_structures,total_valuation,private_valuation,private_1_unit_val,private_2_units_val,private_3_4_units_val,private_5plus_units_val,public_valuation,states,primary_state,adoption_year,event_year,treat
"LAWTON, OKLA",1967,1141,991,568,2,16,405,150,18,13366,11862,8374,8,56,3425,1504,OK,OK,Inf,-Inf,0
"LEWISTON-AUBURN, MAINE",1967,468,361,191,6,12,152,107,16,5730,4385,3087,57,111,1130,1345,MN,MN,1973,-6,0
"LEXINGTON-FAYETTE, KY",1967,2727,2530,1251,216,8,1055,197,54,30743,28629,19545,2084,46,6955,2114,KY,KY,Inf,-Inf,0
"LIMA, OHIO",1967,454,454,393,6,31,24,0,3,7396,7396,6867,35,282,212,0,OH,OH,Inf,-Inf,0
"LINCOLN, NEBR",1967,831,831,562,24,31,214,0,27,10888,10888,8765,252,293,1577,0,NE,NE,Inf,-Inf,0
"LITTLE ROCK-NORTH LITTLE ROCK, ARK",1967,1769,1569,1126,68,39,336,200,30,29430,26751,23315,483,218,2735,2679,AR,AR,Inf,-Inf,0
"LORAIN-ELYRIA, OHIO",1967,1065,1065,784,22,64,195,0,14,17298,17298,15412,223,524,1140,0,OH,OH,Inf,-Inf,0
"LOS ANGELES-LONG BEACH, CALIF",1967,23090,23090,10098,570,846,11576,0,649,404321,404321,253832,7463,9815,133210,0,CA,CA,1970,-3,0
"LOUISVILLE, KY-IND",1967,7137,6937,3809,0,187,2941,200,184,75329,72993,55313,0,1047,16633,2336,KY-IN,KY,1972,-5,0
"LOWELL, MASS-NH",1967,1571,1571,1113,48,48,362,0,11,18614,18614,16055,362,402,1795,0,MA-NH,MA,1977,-10,0
"LUBBOCK, TEX",1967,775,775,527,120,76,52,0,6,12974,12974,10982,1086,426,480,0,TX,TX,Inf,-Inf,0
"LYNCHBURG, VA",1967,590,590,532,10,4,44,0,4,9426,9426,8819,81,20,506,0,VA,VA,1973,-6,0
"MCALLEN-PHARR-EDINBURG, TEX",1967,497,417,392,12,8,5,80,1,4147,3139,3003,67,59,10,1008,TX,TX,Inf,-Inf,0
"MACON, GA",1967,1571,1571,860,324,244,143,0,18,14200,14200,10217,1585,1459,939,0,GA,GA,1991,-24,0
"MADISON, WIS",1967,2421,2421,1297,130,28,966,0,38,28274,28274,20521,1371,212,6169,0,WI,WI,1972,-5,0
"MANCHESTER, NH",1967,423,423,351,42,3,27,0,1,5233,5233,4752,359,22,100,0,NH,NH,Inf,-Inf,0
"MANSFIELD, OHIO",1967,723,723,439,50,16,218,0,18,10854,10854,8327,560,117,1850,0,OH,OH,Inf,-Inf,0
"MEMPHIS, TENN-ARK",1967,9154,9154,4180,316,100,4558,0,415,79137,79137,53030,1466,599,24042,0,TN-AR,TN,Inf,-Inf,0
