smsa,year,total_units,private_total,private_1_unit,private_2_units,private_3_4_units,private_5plus_units,public_units,private_structures,total_valuation,private_valuation,private_1_unit_val,private_2_units_val,private_3_4_units_val,private_5plus_units_val,public_valuation,states,primary_state,adoption_year,event_year,treat
"SHERMAN-DENISON, TEX",1977,221,221,207,14,0,0,0,0,6889,6889,6687,202,0,0,0,TX,TX,Inf,-Inf,0
"SHREVEPORT, LA",1977,2073,2073,1312,2,3,756,0,9,63991,63991,52248,79,56,11608,0,LA,LA,Inf,-Inf,0
"SIOUX CITY, IOWA-NEBR",1977,746,746,526,30,31,159,0,9,18784,18784,15273,803,431,2276,0,IA-NE,IA,Inf,-Inf,0
"SIOUX FALLS, SDAK",1977,1726,1726,551,118,147,910,0,68,39555,39555,20789,2831,2490,13445,0,SD,SD,1974,3,1
"SOUTH BEND, IND",1977,1552,1552,1288,0,20,244,0,9,58931,58931,54566,0,320,4045,0,IN,IN,1972,5,1
"SPOKANE, WASH",1977,4982,4982,3107,684,249,942,0,65,177455,177455,138991,17786,4092,16586,0,WA,WA,1971,6,1
"SPRINGFIELD, ILL",1977,1314,1314,720,90,68,436,0,24,38443,38443,28403,2444,1559,6037,0,IL,IL,Inf,-Inf,0
"SPRINGFIELD, MO",1977,3067,3067,1715,224,60,1068,0,49,72120,72120,54973,3919,852,12376,0,MO,MO,Inf,-Inf,0
"SPRINGFIELD, OHIO",1977,474,474,348,0,64,62,0,5,12776,12776,10933,0,1073,770,0,OH,OH,Inf,-Inf,0
"SPRINGFIELD-CHICOPEE-HOLYOKE, MASS-CONN",1977,1344,1344,1170,70,16,88,0,8,38382,38382,35062,1250,790,1280,0,MA-CT,MA,1973,4,1
"STAMFORD, CONN",1977,1151,1151,566,58,45,482,0,25,54233,54233,41314,1577,1678,9664,0,CT,CT,1973,4,1
"STEUBENVILLE-WEIRTON, OHIO-WVA",1977,367,367,227,14,16,110,0,14,10861,10861,8775,248,210,1629,0,OH-WV,OH,Inf,-Inf,0
"STOCKTON, CALIF",1977,5482,5482,3643,536,303,1000,0,50,184258,184258,148616,15575,6469,13599,0,CA,CA,1970,7,1
"SYRACUSE, NY",1977,2781,2781,2076,34,53,618,0,21,73549,73549,58708,507,551,13784,0,NY,NY,1975,2,1
"TACOMA, WASH",1977,6699,6699,4139,708,422,1430,0,118,197933,197933,153912,16731,6542,20748,0,WA,WA,1971,6,1
"TALLAHASSEE, FLA",1977,1904,1904,1354,224,253,73,0,3,53271,53271,45322,3728,3400,822,0,FL,FL,Inf,-Inf,0
"TAMPA-ST PETERSBURG, FLA",1977,12944,12944,10149,632,326,1837,0,111,330286,330286,280615,9973,6063,33635,0,FL,FL,Inf,-Inf,0
"TERRE HAUTE, IND",1977,566,566,448,30,88,0,0,0,18966,18966,17069,549,1349,0,0,IN,IN,1972,5,1
"TEXARKANA, TEX-ARK",1977,296,296,202,54,12,28,0,3,6893,6893,5514,993,121,265,0,TX-AR,TX,Inf,-Inf,0
"TOLEDO, OHIO-MICH",1977,5240,5240,2856,106,67,2211,0,115,145591,145591,116957,2710,1296,24628,0,OH-MI,OH,Inf,-Inf,0
"TOPEKA, KANS",1977,1805,1805,1349,58,43,355,0,21,64316,64316,55786,1632,1170,5728,0,KS,KS,Inf,-Inf,0
"TRENTON, NJ",1977,1318,1318,500,12,8,798,0,17,42728,42728,24678,360,113,17577,0,NJ,NJ,1989,-12,0
"TUCSON, ARIZ",1977,7633,7633,4871,98,126,2538,0,78,174600,174600,141281,1417,1645,30256,0,AZ,AZ,Inf,-Inf,0
"TULSA, OKLA",1977,6965,6965,4805,224,18,1918,0,167,208039,208039,170697,10779,316,26246,0,OK,OK,Inf,-Inf,0
"TUSCALOOSA, ALA",1977,1758,1758,795,0,95,868,0,50,31073,31073,19727,0,1193,10152,0,AL,AL,Inf,-Inf,0
"TYLER, TEX",1977,1551,1551,495,114,0,942,0,10,43148,43148,23777,3224,0,16147,0,TX,TX,Inf,-Inf,0
"UTICA-ROME, NY",1977,525,525,337,12,0,176,0,6,10833,10833,8881,148,0,1804,0,NY,NY,1975,2,1
"VALLEJO-FAIRFIELD-NAPA, CALIF",1977,6492,6492,5475,116,194,707,0,97,236589,236589,216375,2958,4084,13172,0,CA,CA,1970,7,1
"VINELAND-MILLVILLE-BRIDGETON, NJ",1977,323,323,319,4,0,0,0,0,10194,10194,10128,66,0,0,0,NJ,NJ,1989,-12,0
"WACO, TEX",1977,1424,1424,823,106,28,467,0,15,38914,38914,31459,2812,218,4425,0,TX,TX,Inf,-Inf,0
"WASHINGTON, DC-MD-VA",1977,25468,25468,18715,122,125,6506,0,169,759487,759487,634589,1958,1801,121140,0,DC-MD-VA,DC,1973,4,1
"WATERBURY, CONN",1977,948,948,698,20,7,223,0,5,26768,26768,23879,400,110,2379,0,CT,CT,1973,4,1
"WATERLOO-CEDAR FALLS, IOWA",1977,1353,1353,789,156,70,338,0,31,40215,40215,29678,3823,1253,5461,0,IA,IA,Inf,-Inf,0
"WEST PALM BEACH-BOCA RATON, FLA",1977,14178,14178,7105,800,1730,4543,0,250,415207,415207,263278,16755,32876,102298,0,FL,FL,Inf,-Inf,0
"WHEELING, WVA-OHIO",1977,148,148,126,2,20,0,0,0,5400,5400,4925,40,435,0,0,WV-OH,WV,Inf,-Inf,0
"WICHITA, KANS",1977,3526,3526,1682,422,212,1210,0,70,99614,99614,70122,10589,3550,15354,0,KS,KS,Inf,-Inf,0
"WICHITA FALLS, TEX",1977,606,606,590,10,0,6,0,1,14180,14180,13967,153,0,60,0,TX,TX,Inf,-Inf,0
"WILLIAMSPORT, PA",1977,434,434,318,2,13,101,0,1,12849,12849,10405,30,208,2206,0,PA,PA,Inf,-Inf,0
"WILMINGTON, DEL-NJ-MD",1977,2943,2943,2208,4,0,731,0,30,73537,73537,60211,78,0,13248,0,DEL-NJ-MD,DE,1973,4,1
"WILMINGTON, NC",1977,1143,1143,956,14,3,170,0,23,28602,28602,25460,295,13,2835,0,NC,NC,1971,6,1
"WORCESTER, MASS",1977,1051,1051,989,38,0,24,0,2,31875,31875,30883,510,0,482,0,MA,MA,1977,0,1
"YAKIMA, WASH",1977,1309,1309,733,154,107,315,0,13,38869,38869,28703,3742,1577,4847,0,WA,WA,1971,6,1
"YORK, PA",1977,2053,2053,1776,30,75,172,0,21,63451,63451,60219,433,991,1809,0,PA,PA,Inf,-Inf,0
"YOUNGSTOWN-WARREN, OHIO",1977,2376,2376,1614,44,50,668,0,54,65606,65606,51640,1073,856,12038,0,OH,OH,Inf,-Inf,0
"ABILENE, TEX",1978,1144,1144,632,56,48,408,0,5,40729,40729,31157,1896,1371,6305,0,TX,TX,Inf,-Inf,0
"AKRON, OHIO",1978,3877,3877,2353,362,127,1035,0,50,165078,165078,131772,9119,3149,21038,0,OH,OH,Inf,-Inf,0
"ALBANY, GA",1978,1075,1075,637,68,74,296,0,27,25615,25615,20088,1102,654,3770,0,GA,GA,1991,-13,0
"ALBANY-SCHENECTADY-TROY, NY",1978,3551,3551,2200,88,252,1011,0,38,100599,100599,75752,1792,3499,19555,0,NY,NY,1975,3,1
"ALBUQUERQUE, NMEX",1978,7111,7111,4827,22,891,1371,0,46,235231,235231,197814,491,15747,21179,0,NM,NM,Inf,-Inf,0
"ALEXANDRIA, LA",1978,245,245,203,38,4,0,0,0,10493,10493,9341,605,54,0,0,LA,LA,Inf,-Inf,0
"ALLENTOWN-BETHLEHEM-EASTON, PA-NJ",1978,3246,3246,2598,90,34,524,0,22,109094,109094,96606,1978,515,9995,0,PA-NJ,PA,1989,-11,0
"ALTOONA, PA",1978,587,587,472,8,8,99,0,7,17060,17060,15328,166,152,1413,0,PA,PA,Inf,-Inf,0
"AMARILLO, TEX",1978,1681,1681,975,54,0,652,0,12,64679,64679,50290,1322,0,13067,0,TX,TX,Inf,-Inf,0
"ANAHEIM-SANTA ANA-GARDEN GROVE, CALIF",1978,19245,19245,9576,1130,2102,6437,0,708,871723,871723,569975,51741,69750,180258,0,CA,CA,1970,8,1
"ANCHORAGE, ALASKA",1978,2651,2651,1287,250,452,662,0,63,146490,146490,87695,13038,20732,25024,0,AK,AK,Inf,-Inf,0
"ANDERSON, IND",1978,624,624,401,36,13,174,0,13,25107,25107,17258,546,580,6723,0,IN,IN,1972,6,1
"ANN ARBOR, MICH",1978,2390,2390,1460,16,0,914,0,26,81242,81242,65889,391,0,14961,0,MI,MI,Inf,-Inf,0
"ANNISTON, ALA",1978,513,513,288,6,0,219,0,7,12740,12740,10137,53,0,2550,0,AL,AL,Inf,-Inf,0
"APPLETON-OSHKOSH, WIS",1978,2224,2224,1668,204,59,293,0,16,76981,76981,66200,4925,1616,4240,0,WI,WI,1972,6,1
"ASHEVILLE, NC",1978,1430,1430,1030,20,36,344,0,36,36668,36668,30231,319,510,5608,0,NC,NC,1971,7,1
"ATLANTA, GA",1978,19639,19639,16597,46,114,2882,0,264,570347,570347,526632,914,1831,40971,0,GA,GA,1991,-13,0
"ATLANTIC CITY, NJ",1978,1687,1687,1521,126,23,17,0,2,50486,50486,45704,3966,485,331,0,NJ,NJ,1989,-11,0
"AUGUSTA, GA-SC",1978,2913,2913,2466,52,15,380,0,48,62615,62615,58207,697,159,3552,0,GA-SC,GA,1991,-13,0
"AUSTIN, TEX",1978,9491,9491,4802,646,34,4009,0,66,325593,325593,244163,19649,1096,60685,0,TX,TX,Inf,-Inf,0
"BAKERSFIELD, CALIF",1978,4887,4887,3038,264,631,954,0,132,147110,147110,113285,5702,12198,15925,0,CA,CA,1970,8,1
"BALTIMORE, MD",1978,14815,14815,10561,12,24,4218,0,111,447003,447003,378377,264,550,67813,0,MD,MD,1973,5,1
"BATON ROUGE, LA",1978,4582,4582,3294,180,61,1047,0,27,103689,103689,83425,2212,1119,16933,0,LA,LA,Inf,-Inf,0
"BATTLE CREEK, MICH",1978,781,781,534,2,44,201,0,10,21844,21844,17562,72,1981,2230,0,MI,MI,Inf,-Inf,0
"BAY CITY, MICH",1978,500,500,494,6,0,0,0,0,17326,17326,17251,75,0,0,0,MI,MI,Inf,-Inf,0
"BEAUMONT-PORT ARTHUR-ORANGE, TEX",1978,2832,2832,2017,40,46,729,0,50,106096,106096,90171,808,1455,13663,0,TX,TX,Inf,-Inf,0
"BILLINGS, MONT",1978,1543,1543,860,104,46,533,0,47,31183,31183,21461,1618,603,7501,0,MT,MT,1971,7,1
"BILOXI-GULFPORT, MISS",1978,1177,1177,1045,16,64,52,0,7,33645,33645,31838,315,909,583,0,MS,MS,Inf,-Inf,0
"BINGHAMTON, NY-PA",1978,1296,1296,529,34,37,696,0,21,37940,37940,20325,869,945,15800,0,NY-PA,NY,1975,3,1
"BIRMINGHAM, ALA",1978,5297,5297,4103,10,13,1171,0,61,150319,150319,129207,155,380,20578,0,AL,AL,Inf,-Inf,0
"BLOOMINGTON, IND",1978,730,730,429,2,13,286,0,16,23820,23820,18230,40,210,5340,0,IN,IN,1972,6,1
"BLOOMINGTON-NORMAL, ILL",1978,1131,1131,533,26,82,490,0,32,36283,36283,24122,894,1820,9447,0,IL,IL,Inf,-Inf,0
"BOISE CITY, IDAHO",1978,3136,3136,2162,296,282,396,0,34,112191,112191,93756,6767,5183,6485,0,ID,ID,Inf,-Inf,0
"BOSTON, MASS",1978,8457,8457,3698,170,54,4535,0,118,233231,233231,150526,3248,1244,78213,0,MA,MA,1977,1,1
"BRADENTON, FLA",1978,3942,3942,1599,786,245,1312,0,125,95505,95505,47748,14686,4537,28534,0,FL,FL,Inf,-Inf,0
"BRIDGEPORT, CONN",1978,1477,1477,1092,70,84,231,0,21,59809,59809,52564,1502,2034,3710,0,CT,CT,1973,5,1
"BRISTOL, CONN",1978,277,277,277,0,0,0,0,0,11801,11801,11801,0,0,0,0,CT,CT,1973,5,1
"BROCKTON, MASS",1978,546,546,453,0,4,89,0,2,17752,17752,15275,0,114,2363,0,MA,MA,1977,1,1
"BROWNSVILLE-HARLINGEN-SAN BENITO, TEX",1978,1524,1524,831,18,72,603,0,19,36267,36267,23597,460,1084,11125,0,TX,TX,Inf,-Inf,0
"BRYAN-COLLEGE STATION, TEX",1978,1263,1263,747,148,216,152,0,26,27518,27518,21240,2127,2626,1525,0,TX,TX,Inf,-Inf,0
"BUFFALO, NY",1978,3490,3490,2393,52,56,989,0,53,115551,115551,95456,1219,853,18023,0,NY,NY,1975,3,1
"BURLINGTON, NC",1978,508,508,490,0,0,18,0,2,19235,19235,19052,0,0,183,0,NC,NC,1971,7,1
"CANTON, OHIO",1978,2987,2987,1648,382,41,916,0,45,99840,99840,73391,9799,836,15814,0,OH,OH,Inf,-Inf,0
"CEDAR RAPIDS, IOWA",1978,1713,1713,914,24,152,623,0,39,44512,44512,31031,568,2455,10458,0,IA,IA,Inf,-Inf,0
"CHAMPAIGN-URBANA-RANTOUL, ILL",1978,1192,1192,443,72,25,652,0,40,24963,24963,14732,1186,673,8372,0,IL,IL,Inf,-Inf,0
"CHARLESTON-NORTH CHARLESTON, SC",1978,4548,4548,3005,46,95,1402,0,150,123706,123706,103664,1039,3523,15480,0,SC,SC,Inf,-Inf,0
"CHARLESTON, WVA",1978,716,716,381,8,28,299,0,11,25443,25443,17701,196,542,7004,0,WV,WV,Inf,-Inf,0
"CHARLOTTE-GASTONIA, NC",1978,6454,6454,4714,52,288,1400,0,144,199637,199637,173746,1192,5744,18954,0,NC,NC,1971,7,1
"CHATTANOOGA, TENN-GA",1978,2928,2728,2213,112,11,392,200,15,65697,58347,52379,1399,224,4345,7350,TN-GA,TN,1991,-13,0
"CHICAGO, ILL",1978,47454,47454,29049,1086,1235,16084,0,1112,1921400,1921400,1464598,30995,32924,392884,0,IL,IL,Inf,-Inf,0
"CINCINNATI, OHIO-KY-IND",1978,11658,11658,6032,150,262,5214,0,335,346377,346377,247237,3412,5107,90622,0,OH-KY-IN,OH,1972,6,1
"CLARKSVILLE-HOPKINSVILLE, TENN-KY",1978,858,858,791,18,27,22,0,2,28617,28617,27529,372,352,365,0,TN-KY,TN,Inf,-Inf,0
"CLEVELAND, OHIO",1978,8690,8690,5938,146,226,2380,0,194,432285,432285,362743,5287,6470,57784,0,OH,OH,Inf,-Inf,0
"COLORADO SPRINGS, COLO",1978,3853,3853,3569,18,45,221,0,6,118252,118252,113012,506,825,3910,0,CO,CO,Inf,-Inf,0
"COLUMBIA, MO",1978,1023,1023,616,134,48,225,0,24,33879,33879,26965,3253,761,2900,0,MO,MO,Inf,-Inf,0
"COLUMBIA, SC",1978,3425,3425,2494,86,124,721,0,57,127121,127121,114559,1406,2522,8634,0,SC,SC,Inf,-Inf,0
"COLUMBUS, GA-ALA",1978,1144,1144,643,38,51,412,0,32,35335,35335,26604,759,1762,6210,0,GA-AL,GA,1991,-13,0
"COLUMBUS, OHIO",1978,7908,7908,5204,574,514,1616,0,171,295033,295033,244347,17563,12419,20704,0,OH,OH,Inf,-Inf,0
"CORPUS CHRISTI, TEX",1978,3177,3177,2194,80,146,757,0,20,94289,94289,77960,1573,3110,11646,0,TX,TX,Inf,-Inf,0
"DALLAS-FORT WORTH, TEX",1978,47228,47228,26199,802,228,19999,0,621,1379224,1379224,1094442,25392,3904,255485,0,TX,TX,Inf,-Inf,0
"DANBURY, CONN",1978,1373,1373,1135,8,45,185,0,18,54162,54162,49648,173,941,3400,0,CT,CT,1973,5,1
"DAVENPORT-ROCK ISLAND-MOLINE, IOWA-ILL",1978,2949,2949,1679,68,126,1076,0,62,93204,93204,71164,1736,3003,17301,0,IA-IL,IA,Inf,-Inf,0
"DAYTON, OHIO",1978,5087,5087,2892,226,583,1386,0,101,154942,154942,116730,5671,11927,20614,0,OH,OH,Inf,-Inf,0
"DAYTONA BEACH, FLA",1978,4908,4908,3723,330,101,754,0,51,130547,130547,105240,6216,1459,17632,0,FL,FL,Inf,-Inf,0
"DECATUR, ILL",1978,1030,1030,606,0,40,384,0,31,39780,39780,31863,0,1097,6820,0,IL,IL,Inf,-Inf,0
"DENVER-BOULDER, COLO",1978,28054,28004,20006,476,561,6961,50,336,916437,915182,772245,12077,12139,118721,1255,CO,CO,Inf,-Inf,0
"DES MOINES, IOWA",1978,3184,3184,1808,284,143,949,0,52,104192,104192,72780,7525,4091,19795,0,IA,IA,Inf,-Inf,0
"DETROIT, MICH",1978,26409,26409,18625,100,628,7056,0,390,1050470,1050470,877358,2337,14433,156341,0,MI,MI,Inf,-Inf,0
"DUBUQUE, IOWA",1978,460,460,365,0,8,87,0,2,16559,16559,14592,0,229,1738,0,IA,IA,Inf,-Inf,0
"DULUTH-SUPERIOR, MINN-WIS",1978,2073,2073,1483,22,8,560,0,17,58650,58650,48816,330,75,9430,0,MN-WI,MN,1972,6,1
"EAU CLAIRE, WIS",1978,1568,1568,932,114,15,507,0,29,47274,47274,35096,2405,351,9422,0,WI,WI,1972,6,1
"EL PASO, TEX",1978,4006,4006,3150,292,213,351,0,30,121885,121885,106323,7623,4307,3633,0,TX,TX,Inf,-Inf,0
"ELMIRA, NY",1978,197,197,181,16,0,0,0,0,7096,7096,6813,283,0,0,0,NY,NY,1975,3,1
"ERIE, PA",1978,1382,1382,997,26,64,295,0,27,35600,35600,30264,486,988,3863,0,PA,PA,Inf,-Inf,0
"EUGENE-SPRINGFIELD, OREG",1978,4212,4212,2852,472,103,785,0,26,147842,147842,119206,12322,2089,14226,0,OR,OR,Inf,-Inf,0
"EVANSVILLE, IND-KY",1978,2377,2377,1221,56,20,1080,0,71,64250,64250,48976,1163,738,13373,0,IN-KY,IN,1972,6,1
"FALL RIVER, MASS-RI",1978,433,433,417,0,4,12,0,1,15691,15691,15461,0,100,130,0,MA-RI,MA,1977,1,1
"FARGO-MOORHEAD, ND-MN",1978,2066,2066,614,168,90,1194,0,72,62014,62014,29711,5445,2320,24538,0,ND-MN,ND,1973,5,1
"FAYETTEVILLE, NC",1978,1883,1883,1378,144,36,325,0,11,45820,45820,38486,2833,330,4171,0,NC,NC,1971,7,1
"FAYETTEVILLE-SPRINGDALE, ARK",1978,1233,1233,956,94,86,97,0,10,33034,33034,29094,1756,1134,1050,0,AR,AR,Inf,-Inf,0
"FITCHBURG-LEOMINSTER, MASS",1978,309,309,307,2,0,0,0,0,7838,7838,7802,36,0,0,0,MA,MA,1977,1,1
"FLINT, MICH",1978,3277,3277,2192,12,19,1054,0,42,97224,97224,80283,259,444,16238,0,MI,MI,Inf,-Inf,0
"FLORENCE, ALA",1978,487,487,401,38,15,33,0,4,16350,16350,15347,336,171,496,0,AL,AL,Inf,-Inf,0
"FORT COLLINS, COLO",1978,3176,3176,2535,212,246,183,0,19,112162,112162,97166,5508,5729,3760,0,CO,CO,Inf,-Inf,0
"FORT LAUDERDALE-HOLLYWOOD, FLA",1978,22240,22240,9652,576,742,11270,0,545,666320,666320,365298,15164,18672,267187,0,FL,FL,Inf,-Inf,0
"FORT MEYERS-CAPE CORAL, FLA",1978,8112,8112,3656,590,340,3526,0,158,217647,217647,121119,12233,7919,76377,0,FL,FL,Inf,-Inf,0
"FORT SMITH, ARK-OKLA",1978,1373,1373,972,50,51,300,0,21,44442,44442,39151,1107,704,3480,0,AR-OK,AR,Inf,-Inf,0
"FORT WAYNE, IND",1978,3243,3243,2432,72,20,719,0,30,137358,137358,122154,1910,1052,12241,0,IN,IN,1972,6,1
"FRESNO, CALIF",1978,7270,7270,3459,428,648,2735,0,362,216840,216840,144336,10435,14826,47243,0,CA,CA,1970,8,1
"GADSDEN, ALA",1978,650,650,318,0,15,317,0,26,17203,17203,11970,0,174,5060,0,AL,AL,Inf,-Inf,0
"GAINESVILLE, FLA",1978,2261,2261,1318,192,115,636,0,20,53859,53859,40929,3377,1867,7687,0,FL,FL,Inf,-Inf,0
"GALVESTON-TEXAS CITY, TEX",1978,1954,1954,1597,10,44,303,0,20,66996,66996,61382,264,457,4893,0,TX,TX,Inf,-Inf,0
"GARY-HAMMOND-EAST CHICAGO, IND",1978,4203,4203,3023,160,234,786,0,42,169013,169013,145082,4135,5965,13831,0,IN,IN,1972,6,1
"GRAND FORKS, ND-MN",1978,1064,1064,490,86,12,476,0,25,29401,29401,18617,2049,200,8535,0,ND-MN,ND,1973,5,1
"GRAND RAPIDS, MICH",1978,5832,5832,3106,438,115,2173,0,116,169352,169352,123887,9754,2325,33386,0,MI,MI,Inf,-Inf,0
"GREAT FALLS, MONT",1978,294,294,206,24,48,16,0,2,7658,7658,5755,1089,539,275,0,MT,MT,1971,7,1
"GREELEY, COLO",1978,1751,1751,1394,38,51,268,0,24,47701,47701,41822,1134,950,3794,0,CO,CO,Inf,-Inf,0
"GREEN BAY, WIS",1978,1479,1479,1102,258,11,108,0,12,59963,59963,50873,6760,172,2158,0,WI,WI,1972,6,1
"GREENSBORO-WINSTON-SALEM-HIGH POINT, NC",1978,6806,6806,4855,116,199,1636,0,124,188843,188843,166245,2364,2904,17329,0,NC,NC,1971,7,1
"HAMILTON-MIDDLETOWN, OHIO",1978,2736,2736,1865,84,102,685,0,53,82192,82192,66493,1561,2521,11617,0,OH,OH,Inf,-Inf,0
"HARRISBURG, PA",1978,3586,3586,2066,14,46,1460,0,124,94038,94038,73100,234,728,19977,0,PA,PA,Inf,-Inf,0
"HARTFORD, CONN",1978,3614,3614,2605,50,30,929,0,63,112523,112523,97263,1227,1053,12981,0,CT,CT,1973,5,1
"HONOLULU, HAWAII",1978,4258,4258,2080,196,286,1696,0,78,190426,190426,107383,8208,9173,65661,0,HI,HI,1974,4,1
"HOUSTON, TEX",1978,61484,61484,31185,320,205,29774,0,2675,1763326,1763326,1260858,8334,6176,487958,0,TX,TX,Inf,-Inf,0
"HUNTINGTON-ASHLAND, WVA-KY-OHIO",1978,808,808,488,16,41,263,0,24,18892,18892,14034,326,911,3622,0,WV-KY-OH,WV,Inf,-Inf,0
"HUNTSVILLE, ALA",1978,2966,2966,1257,24,281,1404,0,94,48152,48152,29442,236,2929,15544,0,AL,AL,Inf,-Inf,0
"INDIANAPOLIS, IND",1978,7689,7689,5182,76,201,2230,0,132,315988,315988,261581,2706,7876,43825,0,IN,IN,1972,6,1
"JACKSON, MICH",1978,663,663,529,6,0,128,0,12,19228,19228,17560,114,0,1554,0,MI,MI,Inf,-Inf,0
"JACKSON, MISS",1978,2720,2720,1661,104,50,905,0,111,80477,80477,64276,2241,1563,12397,0,MS,MS,Inf,-Inf,0
"JACKSONVILLE, FLA",1978,5879,5879,4845,76,106,852,0,66,179800,179800,162090,1705,2009,13995,0,FL,FL,Inf,-Inf,0
"JANESVILLE-BELOIT, WIS",1978,1103,1103,737,148,16,202,0,15,37580,37580,29977,3639,320,3644,0,WI,WI,1972,6,1
"JERSEY CITY, NJ",1978,822,822,78,240,0,504,0,9,16993,16993,3074,4389,0,9530,0,NJ,NJ,1989,-11,0
"JOHNSON CITY-KINGSPORT-BRISTOL, TENN-VA",1978,2031,2031,1173,22,75,761,0,29,55083,55083,39094,395,1190,14405,0,TN-VA,TN,1973,5,1
"JOHNSTOWN, PA",1978,763,763,554,54,24,131,0,10,24168,24168,19276,955,401,3535,0,PA,PA,Inf,-Inf,0
"KALAMAZOO-PORTAGE, MICH",1978,1674,1674,1117,22,111,424,0,30,56539,56539,47307,403,1978,6851,0,MI,MI,Inf,-Inf,0
"KANKAKEE, ILL",1978,841,841,444,40,103,254,0,21,26905,26905,19685,960,2079,4181,0,IL,IL,Inf,-Inf,0
"KANSAS CITY, MO-KANS",1978,9619,9619,7419,740,212,1248,0,39,357421,357421,306879,18128,6431,25983,0,MO-KS,MO,Inf,-Inf,0
"KENOSHA, WIS",1978,986,986,533,44,12,397,0,15,36013,36013,24785,2746,320,8161,0,WI,WI,1972,6,1
"KILLEEN-TEMPLE, TEX",1978,2108,2108,1063,84,257,704,0,31,55836,55836,40334,1712,4572,9219,0,TX,TX,Inf,-Inf,0
"KNOXVILLE, TENN",1978,5311,5311,2873,38,366,2034,0,178,124296,124296,90997,661,5932,26707,0,TN,TN,Inf,-Inf,0
"KOKOMO, IND",1978,470,470,404,40,16,10,0,1,20123,20123,18812,1011,225,75,0,IN,IN,1972,6,1
"LACROSSE, WIS",1978,1048,1048,768,34,14,232,0,20,37175,37175,32779,847,305,3244,0,WI,WI,1972,6,1
"LAFAYETTE, LA",1978,1851,1851,1583,48,94,126,0,16,71120,71120,65930,1008,1400,2782,0,LA,LA,Inf,-Inf,0
"LAFAYETTE-WEST LAFAYETTE, IND",1978,1314,1314,449,54,56,755,0,44,29609,29609,18616,1099,1574,8320,0,IN,IN,1972,6,1
"LAKE CHARLES, LA",1978,579,579,466,12,49,52,0,6,22665,22665,19615,259,1871,920,0,LA,LA,Inf,-Inf,0
"LAKELAND-WINTER HAVEN, FLA",1978,3712,3712,2693,406,166,447,0,40,96327,96327,79979,6378,2214,7756,0,FL,FL,Inf,-Inf,0
"LANCASTER, PA",1978,2428,2428,1912,32,62,422,0,24,88788,88788,80198,701,1165,6724,0,PA,PA,Inf,-Inf,0
"LANSING-EAST LANSING, MICH",1978,3455,3455,2013,138,130,1174,0,57,106502,106502,80384,4177,3348,18593,0,MI,MI,Inf,-Inf,0
"LAREDO, TEX",1978,537,537,488,6,4,39,0,3,14890,14890,14437,85,60,308,0,TX,TX,Inf,-Inf,0
"LAS VEGAS, NEV",1978,14891,14891,8830,72,463,5526,0,521,466731,466731,361291,1546,10331,93563,0,NV,NV,Inf,-Inf,0
"LAWRENCE, KANS",1978,967,967,519,68,90,290,0,11,31200,31200,22134,1909,2200,4958,0,KS,KS,Inf,-Inf,0
"LAWRENCE-HAVERHILL, MASS-NH",1978,1977,1977,1355,44,0,578,0,18,57658,57658,45805,847,0,11007,0,MA-NH,MA,1977,1,1
"LAWTON, OKLA",1978,948,948,555,30,6,357,0,14,26856,26856,22374,613,70,3799,0,OK,OK,Inf,-Inf,0
"LEWISTON-AUBURN, MAINE",1978,207,207,170,4,4,29,0,4,6419,6419,5902,77,60,380,0,MN,MN,1973,5,1
"LEXINGTON-FAYETTE, KY",1978,3336,3336,1975,346,412,603,0,66,107182,107182,82368,8181,7350,9283,0,KY,KY,Inf,-Inf,0
"LIMA, OHIO",1978,866,866,683,90,7,86,0,9,32935,32935,29193,2407,135,1200,0,OH,OH,Inf,-Inf,0
"LINCOLN, NEBR",1978,2176,2176,1446,114,20,596,0,56,30735,30735,22310,1183,239,7002,0,NE,NE,Inf,-Inf,0
"LITTLE ROCK-NORTH LITTLE ROCK, ARK",1978,2114,2114,1429,86,0,599,0,32,76930,76930,62779,1695,0,12456,0,AR,AR,Inf,-Inf,0
"LONG BRANCH-ASBURY PARK, NJ",1978,3108,3108,2648,6,70,384,0,30,114399,114399,105357,99,1365,7579,0,NJ,NJ,1989,-11,0
"LONGVIEW-MARSHALL, TEX",1978,1282,1282,563,174,23,522,0,7,41162,41162,27797,4647,366,8352,0,TX,TX,Inf,-Inf,0
"LORAIN-ELYRIA, OHIO",1978,2472,2472,1521,170,33,748,0,43,88487,88487,71702,4631,581,11573,0,OH,OH,Inf,-Inf,0
"LOS ANGELES-LONG BEACH, CALIF",1978,40287,40287,13911,1210,1854,23312,0,1829,1688639,1688639,836767,43958,60095,747820,0,CA,CA,1970,8,1
"LOUISVILLE, KY-IND",1978,5961,5961,4069,56,63,1773,0,61,183097,183097,150817,1472,514,30294,0,KY-IN,KY,1972,6,1
"LOWELL, MASS-NH",1978,880,880,563,16,0,301,0,11,21312,21312,18752,380,0,2180,0,MA-NH,MA,1977,1,1
"LUBBOCK, TEX",1978,2262,2262,1436,266,48,512,0,51,85645,85645,70204,6385,1156,7900,0,TX,TX,Inf,-Inf,0
"LYNCHBURG, VA",1978,974,974,677,4,31,262,0,5,39859,39859,26452,72,492,12842,0,VA,VA,1973,5,1
